strategy,scenario,regime,size,run,seed,target_disorder,actual_disorder,operation_count,duration_seconds,valid,timed_out,returncode,bench_strategy,bench_complexity,error
complex,random,random,16,4,20000046,,0.49166666666666664,96,0.00226070700227865,True,False,0,complex,n*log2(n),
complex,random,random,16,5,20000047,,0.5583333333333333,96,0.0021656290009559598,True,False,0,complex,n*log2(n),
complex,random,random,16,6,20000048,,0.45,96,0.00224763799997163,True,False,0,complex,n*log2(n),
complex,random,random,16,7,20000049,,0.575,96,0.002173205000872258,True,False,0,complex,n*log2(n),
complex,random,random,32,1,20010043,,0.5786290322580645,240,0.0025162929996440653,True,False,0,complex,n*log2(n),
complex,random,random,32,2,20010044,,0.4334677419354839,240,0.0024869970002328046,True,False,0,complex,n*log2(n),
complex,random,random,32,3,20010045,,0.49798387096774194,240,0.0025149529974441975,True,False,0,complex,n*log2(n),
complex,random,random,32,4,20010046,,0.43548387096774194,240,0.0025250899998354726,True,False,0,complex,n*log2(n),
complex,random,random,32,5,20010047,,0.5665322580645161,240,0.0023443099998985417,True,False,0,complex,n*log2(n),
complex,random,random,32,6,20010048,,0.4314516129032258,240,0.002362142000492895,True,False,0,complex,n*log2(n),
complex,random,random,32,7,20010049,,0.5625,240,0.0023660239967284724,True,False,0,complex,n*log2(n),
complex,random,random,64,1,20020043,,0.501984126984127,576,0.003114966002613073,True,False,0,complex,n*log2(n),
complex,random,random,64,2,20020044,,0.5158730158730159,576,0.00309060700237751,True,False,0,complex,n*log2(n),
complex,random,random,64,3,20020045,,0.5456349206349206,576,0.0030849499999021646,True,False,0,complex,n*log2(n),
complex,random,random,64,4,20020046,,0.45089285714285715,576,0.003116085998044582,True,False,0,complex,n*log2(n),
complex,random,random,64,5,20020047,,0.49007936507936506,576,0.0030928919986763503,True,False,0,complex,n*log2(n),
complex,random,random,64,6,20020048,,0.5362103174603174,576,0.0030462510003417265,True,False,0,complex,n*log2(n),
complex,random,random,64,7,20020049,,0.48462301587301587,576,0.0031005800010461826,True,False,0,complex,n*log2(n),
complex,random,random,128,1,20030043,,0.4947096456692913,1344,0.0049378039984731,True,False,0,complex,n*log2(n),
complex,random,random,128,2,20030044,,0.5453986220472441,1344,0.004896358997939387,True,False,0,complex,n*log2(n),
complex,random,random,128,3,20030045,,0.47736220472440943,1344,0.004965500000253087,True,False,0,complex,n*log2(n),
complex,random,random,128,4,20030046,,0.5139025590551181,1344,0.004883950001385529,True,False,0,complex,n*log2(n),
complex,random,random,128,5,20030047,,0.4867125984251969,1344,0.0049073689988290425,True,False,0,complex,n*log2(n),
complex,random,random,128,6,20030048,,0.531373031496063,1344,0.005797239999083104,True,False,0,complex,n*log2(n),
complex,random,random,128,7,20030049,,0.45054133858267714,1344,0.005162921999726677,True,False,0,complex,n*log2(n),
complex,random,random,256,1,20040043,,0.5448223039215686,3072,0.010855204000108643,True,False,0,complex,n*log2(n),
complex,random,random,256,2,20040044,,0.4883884803921569,3072,0.010577906003163662,True,False,0,complex,n*log2(n),
complex,random,random,256,3,20040045,,0.5020220588235295,3072,0.010458382999786409,True,False,0,complex,n*log2(n),
complex,random,random,256,4,20040046,,0.5356924019607843,3072,0.011085865000495687,True,False,0,complex,n*log2(n),
complex,random,random,256,5,20040047,,0.47380514705882354,3072,0.0121148060025007,True,False,0,complex,n*log2(n),
complex,random,random,256,6,20040048,,0.49494485294117646,3072,0.01198234500043327,True,False,0,complex,n*log2(n),
complex,random,random,256,7,20040049,,0.5222120098039216,3072,0.010726199998316588,True,False,0,complex,n*log2(n),
complex,reverse,high,16,1,21000043,1.0,1.0,96,0.0022707290008838754,True,False,0,complex,n*log2(n),
complex,reverse,high,16,2,21000044,1.0,1.0,96,0.002204369000537554,True,False,0,complex,n*log2(n),
complex,reverse,high,16,3,21000045,1.0,1.0,96,0.002236502998130163,True,False,0,complex,n*log2(n),
complex,reverse,high,16,4,21000046,1.0,1.0,96,0.0022209620001376607,True,False,0,complex,n*log2(n),
complex,reverse,high,16,5,21000047,1.0,1.0,96,0.002195174998632865,True,False,0,complex,n*log2(n),
complex,reverse,high,16,6,21000048,1.0,1.0,96,0.0022076259992900304,True,False,0,complex,n*log2(n),
complex,reverse,high,16,7,21000049,1.0,1.0,96,0.00224844399781432,True,False,0,complex,n*log2(n),
complex,reverse,high,32,1,21010043,1.0,1.0,240,0.0025475129987171385,True,False,0,complex,n*log2(n),
complex,reverse,high,32,2,21010044,1.0,1.0,240,0.002573644000221975,True,False,0,complex,n*log2(n),
complex,reverse,high,32,3,21010045,1.0,1.0,240,0.002539752000302542,True,False,0,complex,n*log2(n),
complex,reverse,high,32,4,21010046,1.0,1.0,240,0.002562061999924481,True,False,0,complex,n*log2(n),
complex,reverse,high,32,5,21010047,1.0,1.0,240,0.002668633998837322,True,False,0,complex,n*log2(n),
complex,reverse,high,32,6,21010048,1.0,1.0,240,0.0026074909983435646,True,False,0,complex,n*log2(n),
complex,reverse,high,32,7,21010049,1.0,1.0,240,0.0025185009981214534,True,False,0,complex,n*log2(n),
complex,reverse,high,64,1,21020043,1.0,1.0,576,0.003350082999531878,True,False,0,complex,n*log2(n),
complex,reverse,high,64,2,21020044,1.0,1.0,576,0.0032067840002127923,True,False,0,complex,n*log2(n),
complex,reverse,high,64,3,21020045,1.0,1.0,576,0.003350394999870332,True,False,0,complex,n*log2(n),
complex,reverse,high,64,4,21020046,1.0,1.0,576,0.003260932000557659,True,False,0,complex,n*log2(n),
complex,reverse,high,64,5,21020047,1.0,1.0,576,0.0033943829985219054,True,False,0,complex,n*log2(n),
complex,reverse,high,64,6,21020048,1.0,1.0,576,0.0033131999989564065,True,False,0,complex,n*log2(n),
complex,reverse,high,64,7,21020049,1.0,1.0,576,0.0031663510017096996,True,False,0,complex,n*log2(n),
complex,reverse,high,128,1,21030043,1.0,1.0,1344,0.004922929001622833,True,False,0,complex,n*log2(n),
complex,reverse,high,128,2,21030044,1.0,1.0,1344,0.004840802997932769,True,False,0,complex,n*log2(n),
complex,reverse,high,128,3,21030045,1.0,1.0,1344,0.0050887460020021535,True,False,0,complex,n*log2(n),
complex,reverse,high,128,4,21030046,1.0,1.0,1344,0.0049002390005625784,True,False,0,complex,n*log2(n),
complex,reverse,high,128,5,21030047,1.0,1.0,1344,0.005121182999573648,True,False,0,complex,n*log2(n),
complex,reverse,high,128,6,21030048,1.0,1.0,1344,0.005214950997469714,True,False,0,complex,n*log2(n),
complex,reverse,high,128,7,21030049,1.0,1.0,1344,0.005254337000224041,True,False,0,complex,n*log2(n),
complex,reverse,high,256,1,21040043,1.0,1.0,3072,0.010771055000077467,True,False,0,complex,n*log2(n),
complex,reverse,high,256,2,21040044,1.0,1.0,3072,0.010351605000323616,True,False,0,complex,n*log2(n),
complex,reverse,high,256,3,21040045,1.0,1.0,3072,0.010294054001860786,True,False,0,complex,n*log2(n),
complex,reverse,high,256,4,21040046,1.0,1.0,3072,0.010140035999938846,True,False,0,complex,n*log2(n),
complex,reverse,high,256,5,21040047,1.0,1.0,3072,0.009487081999395741,True,False,0,complex,n*log2(n),
complex,reverse,high,256,6,21040048,1.0,1.0,3072,0.009367506998387398,True,False,0,complex,n*log2(n),
complex,reverse,high,256,7,21040049,1.0,1.0,3072,0.009255894001398701,True,False,0,complex,n*log2(n),
